"BoroCT2010","census_tract","borough","total_population","data"
365043500,"Census Tract 435, Bronx County, New York"," Bronx County",52,52
365043600,"Census Tract 436, Bronx County, New York"," Bronx County",2244,2244
365044200,"Census Tract 442, Bronx County, New York"," Bronx County",4071,4071
365044400,"Census Tract 444, Bronx County, New York"," Bronx County",3576,3576
365044800,"Census Tract 448, Bronx County, New York"," Bronx County",2181,2181
365044901,"Census Tract 449.01, Bronx County, New York"," Bronx County",1465,1465
365044902,"Census Tract 449.02, Bronx County, New York"," Bronx County",2031,2031
365045101,"Census Tract 451.01, Bronx County, New York"," Bronx County",1531,1531
365045102,"Census Tract 451.02, Bronx County, New York"," Bronx County",1893,1893
365045600,"Census Tract 456, Bronx County, New York"," Bronx County",3275,3275
365045800,"Census Tract 458, Bronx County, New York"," Bronx County",5243,5243
365046000,"Census Tract 460, Bronx County, New York"," Bronx County",2849,2849
365046201,"Census Tract 462.01, Bronx County, New York"," Bronx County",28926,28926
365046202,"Census Tract 462.02, Bronx County, New York"," Bronx County",9409,9409
365048400,"Census Tract 484, Bronx County, New York"," Bronx County",4377,4377
365050400,"Census Tract 504, Bronx County, New York"," Bronx County",63,63
365051600,"Census Tract 516, Bronx County, New York"," Bronx County",4439,4439
3681000100,"Census Tract 1, Queens County, New York"," Queens County",6403,6403
3681000200,"Census Tract 2, Queens County, New York"," Queens County",3364,3364
3681000400,"Census Tract 4, Queens County, New York"," Queens County",4559,4559
3681000600,"Census Tract 6, Queens County, New York"," Queens County",3807,3807
3681000700,"Census Tract 7, Queens County, New York"," Queens County",5815,5815
3681000800,"Census Tract 8, Queens County, New York"," Queens County",3543,3543
3681001000,"Census Tract 10, Queens County, New York"," Queens County",3884,3884
3681001200,"Census Tract 12, Queens County, New York"," Queens County",4998,4998
3681001400,"Census Tract 14, Queens County, New York"," Queens County",3781,3781
3681001600,"Census Tract 16, Queens County, New York"," Queens County",3244,3244
3681001800,"Census Tract 18, Queens County, New York"," Queens County",3443,3443
3681001900,"Census Tract 19, Queens County, New York"," Queens County",1655,1655
3681002000,"Census Tract 20, Queens County, New York"," Queens County",1950,1950
3681002200,"Census Tract 22, Queens County, New York"," Queens County",2178,2178
3681002400,"Census Tract 24, Queens County, New York"," Queens County",2278,2278
3681002500,"Census Tract 25, Queens County, New York"," Queens County",6392,6392
3681002600,"Census Tract 26, Queens County, New York"," Queens County",2467,2467
3681002800,"Census Tract 28, Queens County, New York"," Queens County",2971,2971
3681003000,"Census Tract 30, Queens County, New York"," Queens County",1587,1587
3681003100,"Census Tract 31, Queens County, New York"," Queens County",1058,1058
3681003200,"Census Tract 32, Queens County, New York"," Queens County",1613,1613
3681003300,"Census Tract 33, Queens County, New York"," Queens County",2806,2806
3681003400,"Census Tract 34, Queens County, New York"," Queens County",2389,2389
3681003600,"Census Tract 36, Queens County, New York"," Queens County",3724,3724
3681003700,"Census Tract 37, Queens County, New York"," Queens County",0,0
3681003800,"Census Tract 38, Queens County, New York"," Queens County",2521,2521
3681003900,"Census Tract 39, Queens County, New York"," Queens County",1646,1646
3681004001,"Census Tract 40.01, Queens County, New York"," Queens County",2228,2228
3681004002,"Census Tract 40.02, Queens County, New York"," Queens County",1551,1551
3681004200,"Census Tract 42, Queens County, New York"," Queens County",4801,4801
3681004300,"Census Tract 43, Queens County, New York"," Queens County",2418,2418
3681004401,"Census Tract 44.01, Queens County, New York"," Queens County",3716,3716
3681004500,"Census Tract 45, Queens County, New York"," Queens County",3533,3533
3681004700,"Census Tract 47, Queens County, New York"," Queens County",4011,4011
3681005000,"Census Tract 50, Queens County, New York"," Queens County",37,37
3681005100,"Census Tract 51, Queens County, New York"," Queens County",2194,2194
3681005200,"Census Tract 52, Queens County, New York"," Queens County",2746,2746
3681005300,"Census Tract 53, Queens County, New York"," Queens County",4043,4043
3681005400,"Census Tract 54, Queens County, New York"," Queens County",5630,5630
3681005500,"Census Tract 55, Queens County, New York"," Queens County",943,943
3681005700,"Census Tract 57, Queens County, New York"," Queens County",4315,4315
3681005800,"Census Tract 58, Queens County, New York"," Queens County",5785,5785
3681005900,"Census Tract 59, Queens County, New York"," Queens County",4174,4174
3681006100,"Census Tract 61, Queens County, New York"," Queens County",5980,5980
3681006201,"Census Tract 62.01, Queens County, New York"," Queens County",5996,5996
3681006202,"Census Tract 62.02, Queens County, New York"," Queens County",7378,7378
3681006300,"Census Tract 63, Queens County, New York"," Queens County",5434,5434
3681006501,"Census Tract 65.01, Queens County, New York"," Queens County",3550,3550
3681006502,"Census Tract 65.02, Queens County, New York"," Queens County",3845,3845
3681006900,"Census Tract 69, Queens County, New York"," Queens County",4649,4649
3681007100,"Census Tract 71, Queens County, New York"," Queens County",3825,3825
3681007300,"Census Tract 73, Queens County, New York"," Queens County",4365,4365
3681007500,"Census Tract 75, Queens County, New York"," Queens County",4325,4325
